I consider myself:,Country,Response ID,Time Started,Date Submitted,Status,Language,Link Name,WiFi Router:Check all the internet connected devices you currently own:,Laptop computer:Check all the internet connected devices you currently own:,Smart phone:Check all the internet connected devices you currently own:,Smart TV:Check all the internet connected devices you currently own:,Activity Tracker (ex: Fitbit or Apple Watch):Check all the internet connected devices you currently own:,"Smarthome Hub (ex. Amazon Echo, Google Alexa):Check all the internet connected devices you currently own:",Car that connects to the internet:Check all the internet connected devices you currently own:,Smart Thermostat (ex: Nest):Check all the internet connected devices you currently own:,"Smart Appliance (ex. Coffeemaker, Refrigerator, Oven, Fridge):Check all the internet connected devices you currently own:",Smart Door Locks (ex. Door locks for your home you can open via bluetooth):Check all the internet connected devices you currently own:,"Smart Lighting (ex. Connected lighting switches, dimmers, or bulbs):Check all the internet connected devices you currently own:",Thinking about a future in which so much of your world is connected to the internet leaves you feeling:,What are you most excited about as we move toward a more digitally connected future?,What is your biggest fear as we move towards a more connected future?,"Who is most responsible for protecting the online safety, privacy, and security of the connected apps and devices you own?","Who do you most trust to help you learn how to protect your safety, security and privacy online?",Price:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Features:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Safety:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Security:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Privacy:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Reliability:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,User Reviews:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Expert Recommendation:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Friend or Family Recommendation:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Convenience:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,IoT:Check all the terms below that you could explain to a friend:,Connected Devices:Check all the terms below that you could explain to a friend:,Botnet:Check all the terms below that you could explain to a friend:,Blockchain:Check all the terms below that you could explain to a friend:,RFID:Check all the terms below that you could explain to a friend:,DDOS:Check all the terms below that you could explain to a friend:,Zero Day:Check all the terms below that you could explain to a friend:,VPN:Check all the terms below that you could explain to a friend:,TOR:Check all the terms below that you could explain to a friend:,I don‰Ûªt know what any of these things are:Check all the terms below that you could explain to a friend:,Country or Region (optional)
Average User:   I know enough to get by.,Equatorial Guinea,3,3,3,3,3,3,2,3,3,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,0,2,0,1,0,0,0,2,0,0,1
Average User:   I know enough to get by.,Estonia,10,10,10,10,10,10,8,8,8,6,1,0,2,0,1,0,0,10,10,10,10,10,7,6,8,8,7,6,5,6,6,6,1,8,4,3,2,5,2,7,5,1,10
Average User:   I know enough to get by.,Ethiopia,11,11,11,11,11,11,8,6,6,0,0,0,0,0,0,0,0,9,8,9,7,9,5,5,4,4,4,5,3,4,3,4,2,5,0,1,1,0,0,9,4,0,8
Average User:   I know enough to get by.,Europe,52,52,52,52,52,52,42,43,51,22,10,3,2,0,3,0,1,52,52,51,52,52,51,50,46,47,46,49,48,46,46,47,11,40,7,4,15,9,3,32,19,5,45
Average User:   I know enough to get by.,Fiji,7,7,7,7,7,7,5,7,6,2,1,0,0,0,1,0,0,7,7,7,7,7,5,5,5,5,5,5,5,4,4,4,2,6,2,1,3,2,0,4,0,1,7
Average User:   I know enough to get by.,Finland,56,56,56,56,56,56,45,49,45,13,9,1,1,1,4,0,1,55,56,56,56,55,46,46,46,44,46,45,45,45,42,43,15,42,15,6,17,14,10,29,23,8,53
Average User:   I know enough to get by.,France,13644,13644,13644,13644,13644,13644,7491,11572,10683,2342,682,352,695,267,786,125,428,13440,13275,13343,13244,13240,10845,10443,10071,10373,10479,10581,9972,9938,9885,10838,590,10610,979,827,1706,1673,640,4250,2649,2190,11574
Average User:   I know enough to get by.,French Guiana,25,25,25,25,25,25,18,19,19,5,3,1,0,0,2,1,1,23,24,23,24,24,18,18,15,14,15,18,13,15,14,18,1,18,2,0,2,2,0,7,4,4,21
Average User:   I know enough to get by.,French Polynesia,43,43,43,43,43,43,41,36,32,7,2,2,0,0,3,0,1,42,42,43,42,42,38,36,32,34,33,36,32,31,31,37,1,27,2,3,4,7,3,13,8,11,27
Average User:   I know enough to get by.,Gabon,19,19,19,19,19,19,9,18,17,2,0,1,0,0,1,0,0,18,18,18,17,17,11,11,10,10,11,11,10,10,10,10,1,13,1,1,1,1,1,12,1,1,14
Average User:   I know enough to get by.,Georgia,4,4,4,4,4,4,3,2,1,0,0,0,0,0,1,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,3
Average User:   I know enough to get by.,Germany,10799,10799,10799,10799,10799,10799,9848,8526,8673,3549,699,277,683,128,607,73,373,10630,10610,10587,10526,10496,8733,8434,7810,8363,8330,8638,7682,7718,7729,7978,801,7000,2375,575,1677,1214,645,3618,2646,2485,8841
Average User:   I know enough to get by.,Ghana,30,30,30,30,30,30,15,25,26,5,0,1,1,1,4,0,2,29,29,29,29,29,26,27,25,26,25,24,23,23,22,24,3,22,1,1,4,5,1,16,3,6,25
Average User:   I know enough to get by.,Gibraltar,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1
Average User:   I know enough to get by.,Greece,111,111,111,111,111,111,98,93,87,36,5,2,6,0,6,0,3,109,109,110,110,110,88,82,81,80,81,80,73,75,70,75,11,83,15,9,14,12,5,50,22,21,94
Average User:   I know enough to get by.,Guadeloupe,54,54,54,54,54,54,32,49,49,11,3,0,1,1,3,0,2,53,52,53,52,50,40,40,39,41,38,40,34,35,34,40,5,38,2,5,8,5,1,19,8,10,43
Average User:   I know enough to get by.,Guam,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1
Average User:   I know enough to get by.,Guatemala,182,182,182,182,182,182,163,127,154,61,10,11,6,2,15,2,4,176,176,175,171,175,142,137,120,94,121,117,117,120,109,126,13,129,12,9,5,25,14,65,31,41,157
Average User:   I know enough to get by.,Guernsey,5,5,5,5,5,5,5,4,2,1,0,0,0,0,0,0,0,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,0,5,0,0,2,0,0,3,0,0,4
Average User:   I know enough to get by.,Guinea,18,18,18,18,18,18,6,17,11,2,0,2,1,0,1,0,0,17,16,17,17,17,9,8,9,9,9,8,8,8,8,8,1,12,0,1,0,1,0,5,0,5,15
Average User:   I know enough to get by.,Guyana,7,7,7,7,7,7,6,7,7,5,1,1,0,0,0,0,0,5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,1,4,2,0,1,3,1,4,1,0,3
Average User:   I know enough to get by.,Haiti,12,12,12,12,12,12,5,8,7,0,0,1,0,0,0,0,0,11,10,11,9,10,6,6,5,6,5,5,5,5,5,6,0,4,0,0,0,0,0,4,1,4,8
Average User:   I know enough to get by.,Holy See (Vatican City State),2,2,2,2,2,2,1,1,1,1,0,0,0,0,2,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,2
Average User:   I know enough to get by.,Honduras,77,77,77,77,77,77,63,56,67,31,5,8,6,2,5,3,3,75,73,74,71,72,53,51,47,37,44,44,44,47,44,49,4,54,3,3,2,10,8,36,13,19,65
Average User:   I know enough to get by.,Hong Kong,15,15,15,15,15,15,15,14,15,7,2,0,0,0,1,0,0,15,15,14,14,14,12,12,11,12,11,11,12,11,10,12,4,9,2,2,3,2,1,12,3,1,8
Average User:   I know enough to get by.,Hungary,44,44,44,44,44,44,38,41,34,9,7,3,0,0,3,0,1,44,44,41,41,41,35,33,30,33,33,33,30,30,31,31,5,31,8,3,4,7,1,21,17,7,35
Average User:   I know enough to get by.,Iceland,10,10,10,10,10,10,5,7,8,2,0,1,0,0,0,0,0,9,9,9,9,9,9,8,8,9,8,9,8,8,9,9,0,8,0,0,0,0,1,5,2,1,8
Average User:   I know enough to get by.,India,1198,1198,1198,1198,1198,1198,840,931,991,254,99,42,74,19,152,38,67,1134,1137,1122,1108,1099,848,830,807,812,791,793,738,721,707,770,349,771,125,107,229,120,78,478,154,238,1014
Average User:   I know enough to get by.,Indonesia,285,285,285,285,285,285,205,239,252,58,16,13,14,4,23,5,11,278,279,274,277,273,233,214,216,222,212,198,189,197,183,194,44,185,22,12,35,43,13,129,46,66,262
Average User:   I know enough to get by.,"Iran, Islamic Republic of",67,67,67,67,67,67,42,46,48,19,5,1,6,1,4,2,1,60,60,58,60,61,39,38,41,39,37,37,36,34,35,39,10,40,4,3,7,6,4,40,12,8,58
Average User:   I know enough to get by.,Iraq,5,5,5,5,5,5,4,4,4,2,0,0,0,0,0,0,0,5,5,5,5,5,3,3,3,3,3,3,3,3,4,3,0,4,0,0,1,0,0,2,0,1,4
Average User:   I know enough to get by.,Ireland,140,140,140,140,140,140,108,121,111,40,17,2,12,0,7,1,1,138,139,138,137,135,113,108,111,111,107,111,102,100,100,99,21,99,23,15,22,18,7,58,32,31,125
Average User:   I know enough to get by.,Isle of Man,8,8,8,8,8,8,8,7,4,3,0,1,0,1,0,0,0,8,8,8,7,8,5,5,5,5,5,5,5,6,6,5,1,6,0,2,0,1,0,2,1,2,7
Average User:   I know enough to get by.,Israel,40,40,40,40,40,40,34,26,34,11,3,1,2,1,1,0,1,39,40,40,39,39,34,29,31,30,33,34,28,31,29,28,8,31,4,4,6,7,1,18,9,8,33
Average User:   I know enough to get by.,Italy,13110,13110,13110,13110,13110,13110,9720,10936,11387,4146,636,323,824,174,709,72,194,12918,12887,12826,12734,12707,10935,10538,9791,9650,9779,10569,9712,9815,9407,10508,945,9997,769,591,820,1116,493,3577,1643,2367,10881
Average User:   I know enough to get by.,Jamaica,19,19,19,19,19,19,16,15,19,7,0,1,0,0,0,0,0,19,19,19,19,18,16,15,14,13,14,15,15,13,12,14,4,15,1,0,2,2,0,10,1,3,12
Average User:   I know enough to get by.,Japan,57,57,57,57,57,57,50,48,46,7,7,2,3,1,1,2,1,56,57,56,57,57,49,49,47,47,47,47,46,47,45,47,20,39,12,12,9,11,8,34,15,11,46
Average User:   I know enough to get by.,Jersey,8,8,8,8,8,8,6,7,6,2,2,0,0,0,1,1,1,8,7,8,8,8,7,7,7,7,7,7,7,6,7,7,2,7,3,2,1,1,0,6,2,1,8
Average User:   I know enough to get by.,Jordan,5,5,5,5,5,5,5,5,4,0,0,0,0,0,0,0,0,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,2,0,0,3
Average User:   I know enough to get by.,Kazakhstan,2,2,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,1,0,0,0,0,1,2
Average User:   I know enough to get by.,Kenya,100,100,100,100,100,100,54,86,88,37,6,2,6,0,12,5,4,97,98,96,97,97,73,69,66,69,68,73,66,67,64,71,20,66,4,5,15,8,3,38,18,18,88
Average User:   I know enough to get by.,"Korea, Republic of",12,12,12,12,12,12,7,10,8,0,0,0,0,0,0,0,0,11,11,11,11,11,9,8,8,8,7,8,8,9,7,8,6,6,1,0,5,4,3,6,7,2,10
Average User:   I know enough to get by.,Kuwait,9,9,9,9,9,9,9,8,9,1,1,0,0,0,1,0,0,9,9,9,9,9,9,8,9,9,9,9,8,8,8,8,0,6,0,0,0,0,0,3,2,2,6
Average User:   I know enough to get by.,Kyrgyzstan,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1
